building_id,mode,period_s,PhiRoof_X,PhiRoof_Y,Ln_X,Ln_Y,PF_X,PF_Y,Alpha_X,Alpha_Y
OFF-09,2y,0.051683,0.000000,0.189131,0.000000,-71410.792142,0.000000,-0.782865,0.000000,0.317401
OFF-10,1x,0.226363,-1.000000,0.000000,-96286.764810,0.000000,-1.045684,0.000000,0.571642,0.000000
OFF-10,2x,0.053586,0.100314,0.000000,-79232.678652,0.000000,-0.888484,0.000000,0.399679,0.000000
OFF-10,1y,0.218867,0.000000,1.000000,0.000000,97320.028096,0.000000,1.093002,0.000000,0.603921
OFF-10,2y,0.054370,0.000000,0.105069,0.000000,-78813.924493,0.000000,-0.885160,0.000000,0.396079
OFF-11,1x,0.157070,-1.000000,0.000000,-155227.882693,0.000000,-1.141854,0.000000,0.676104,0.000000
OFF-11,2x,0.052130,0.184706,0.000000,-106868.771544,0.000000,-0.788236,0.000000,0.321322,0.000000
OFF-11,1y,0.159450,0.000000,-1.000000,0.000000,-156461.439238,0.000000,-1.150497,0.000000,0.686636
OFF-11,2y,0.053080,0.000000,0.193637,0.000000,-105698.118141,0.000000,-0.777221,0.000000,0.313361
OFF-12,1x,0.225995,-1.000000,0.000000,-143562.090459,0.000000,-1.042292,0.000000,0.570772,0.000000
OFF-12,2x,0.054807,-0.100710,0.000000,117878.922153,0.000000,0.888715,0.000000,0.399606,0.000000
OFF-12,1y,0.242877,0.000000,-1.000000,0.000000,-143339.979665,0.000000,-1.084047,0.000000,0.592719
OFF-12,2y,0.056369,0.000000,-0.093532,0.000000,118819.807560,0.000000,0.898607,0.000000,0.407279
RES1-01,1x,0.159898,-1.000000,0.000000,-58994.642180,0.000000,-1.088368,0.000000,0.611644,0.000000
RES1-01,2x,0.046330,-0.131143,0.000000,45930.324719,0.000000,0.855463,0.000000,0.374292,0.000000
RES1-01,1y,0.157621,0.000000,1.000000,0.000000,59446.423972,0.000000,1.117520,0.000000,0.632836
RES1-01,2y,0.046600,0.000000,-0.138821,0.000000,45529.521270,0.000000,0.846557,0.000000,0.367163
RES1-02,1x,0.248680,1.000000,0.000000,88759.107593,0.000000,1.194132,0.000000,0.695610,0.000000
RES1-02,2x,0.089142,0.705217,0.000000,-24976.420188,0.000000,-0.319724,0.000000,0.052409,0.000000
RES1-02,1y,0.247851,0.000000,-1.000000,0.000000,-87864.905955,0.000000,-1.216145,0.000000,0.701296
RES1-02,2y,0.090255,0.000000,0.687621,0.000000,-26357.271397,0.000000,-0.342286,0.000000,0.059209
RES1-03,1x,0.167237,1.000000,0.000000,153987.966418,0.000000,1.056670,0.000000,0.600822,0.000000
RES1-03,2x,0.050755,-0.144233,0.000000,116565.894950,0.000000,0.839034,0.000000,0.361136,0.000000
RES1-03,1y,0.161960,0.000000,1.000000,0.000000,155227.795363,0.000000,1.125858,0.000000,0.645316
RES1-03,2y,0.050540,0.000000,-0.151457,0.000000,115592.083843,0.000000,0.830985,0.000000,0.354683
RES1-04,1x,0.264366,1.000000,0.000000,239990.320506,0.000000,1.160588,0.000000,0.680620,0.000000
RES1-04,2x,0.094863,0.705325,0.000000,-68993.420566,0.000000,-0.327150,0.000000,0.055155,0.000000
RES1-04,1y,0.257890,0.000000,-1.000000,0.000000,-238239.459229,0.000000,-1.216901,0.000000,0.708437
RES1-04,2y,0.094387,0.000000,0.693233,0.000000,-71797.009620,0.000000,-0.344362,0.000000,0.060416
RES1-05,1x,0.219870,-1.000000,0.000000,-56144.491856,0.000000,-1.012431,0.000000,0.541480,0.000000
RES1-05,2x,0.047688,-0.080087,0.000000,48595.463961,0.000000,0.912942,0.000000,0.422619,0.000000
RES1-05,1y,0.157622,0.000000,1.000000,0.000000,59446.351417,0.000000,1.117519,0.000000,0.632834
RES1-05,2y,0.046600,0.000000,-0.138820,0.000000,45529.593446,0.000000,0.846559,0.000000,0.367165
RES1-06,1x,0.324879,-1.000000,0.000000,-94331.791872,0.000000,-1.084235,0.000000,0.671247,0.000000
RES1-06,2x,0.093265,0.823758,0.000000,-15948.886788,0.000000,-0.183695,0.000000,0.019228,0.000000
RES1-06,1y,0.247855,0.000000,1.000000,0.000000,87864.005959,0.000000,1.216149,0.000000,0.701291
RES1-06,2y,0.090256,0.000000,-0.687606,0.000000,26358.159098,0.000000,0.342302,0.000000,0.059214
RES1-07,1x,0.259698,-1.000000,0.000000,-143778.486636,0.000000,-1.016773,0.000000,0.539805,0.000000
RES1-07,2x,0.052943,-0.069707,0.000000,126612.747564,0.000000,0.924369,0.000000,0.432157,0.000000
RES1-07,1y,0.161961,0.000000,-1.000000,0.000000,-155227.698387,0.000000,-1.125857,0.000000,0.645315
RES1-07,2y,0.050540,0.000000,-0.151456,0.000000,115592.181888,0.000000,0.830986,0.000000,0.354684
RES1-08,1x,0.386413,1.000000,0.000000,258349.732915,0.000000,1.064806,0.000000,0.672219,0.000000
RES1-08,2x,0.100439,0.861225,0.000000,-35530.280737,0.000000,-0.147115,0.000000,0.012773,0.000000
RES1-08,1y,0.257892,0.000000,1.000000,0.000000,238238.434596,0.000000,1.216903,0.000000,0.708435
RES1-08,2y,0.094387,0.000000,-0.693227,0.000000,71798.037996,0.000000,0.344368,0.000000,0.060418
RES1-09,1x,0.178079,-1.000000,0.000000,-75032.160282,0.000000,-1.094838,0.000000,0.619784,0.000000
RES1-09,2x,0.052356,0.138146,0.000000,-57444.717253,0.000000,-0.846746,0.000000,0.366984,0.000000
RES1-09,1y,0.175537,0.000000,1.000000,0.000000,75634.425216,0.000000,1.122464,0.000000,0.640524
RES1-09,2y,0.052664,0.000000,-0.146270,0.000000,56908.662605,0.000000,0.837241,0.000000,0.359478
RES1-10,1x,0.282002,-1.000000,0.000000,-117211.806367,0.000000,-1.190696,0.000000,0.696930,0.000000
RES1-10,2x,0.100712,-0.704390,0.000000,33231.414732,0.000000,0.323533,0.000000,0.053689,0.000000
RES1-10,1y,0.280745,0.000000,-1.000000,0.000000,-116080.893390,0.000000,-1.216578,0.000000,0.705208
RES1-10,2y,0.101978,0.000000,0.687555,0.000000,-35043.527320,0.000000,-0.345846,0.000000,0.060521
RES1-11,1x,0.186591,-1.000000,0.000000,-196899.822276,0.000000,-1.060955,0.000000,0.607821,0.000000
RES1-11,2x,0.057444,-0.151929,0.000000,146433.620719,0.000000,0.829338,0.000000,0.353350,0.000000
RES1-11,1y,0.180665,0.000000,-1.000000,0.000000,-198567.631108,0.000000,-1.130985,0.000000,0.653429
RES1-11,2y,0.057182,0.000000,0.159578,0.000000,-145123.833129,0.000000,-0.820787,0.000000,0.346579
RES1-12,1x,0.293999,1.000000,0.000000,305586.066484,0.000000,1.160309,0.000000,0.683794,0.000000
RES1-12,2x,0.105176,-0.706846,0.000000,88754.631866,0.000000,0.330945,0.000000,0.056645,0.000000
RES1-12,1y,0.286704,0.000000,-1.000000,0.000000,-303394.718703,0.000000,-1.217876,0.000000,0.712572
RES1-12,2y,0.104659,0.000000,0.694959,0.000000,-92377.288058,0.000000,-0.348209,0.000000,0.062033
RES1-13,1x,0.228322,-1.000000,0.000000,-71873.170680,0.000000,-1.019781,0.000000,0.552990,0.000000
RES1-13,2x,0.053621,-0.096621,0.000000,60184.658733,0.000000,0.891185,0.000000,0.404666,0.000000
RES1-13,1y,0.144482,0.000000,-1.000000,0.000000,-80165.217551,0.000000,-1.161733,0.000000,0.702644
RES1-13,2y,0.050470,0.000000,0.214935,0.000000,-52377.911275,0.000000,-0.752467,0.000000,0.297358
RES1-14,1x,0.372085,1.000000,0.000000,124508.653378,0.000000,1.076434,0.000000,0.669273,0.000000
RES1-14,2x,0.105338,0.822823,0.000000,-21036.038751,0.000000,-0.184347,0.000000,0.019365,0.000000
