building_id,direction,Xr1_m,Xr2_m,Xr3_m,Xr4_m,Xr5_m,Vb1_kN,Vb2_kN,Vb3_kN,Vb4_kN,Vb5_kN
EDU-14,X,0.012738,0.031943,0.058884,0.089556,0.149518,439.4958,876.4706,1283.1933,1555.4622,1557.1429
EDU-14,Y,0.014949,0.032081,0.049213,0.060818,0.115806,889.3557,1656.8627,2301.1204,2553.2213,2533.6134
EDU-15,X,0.014312,0.032279,0.060534,0.091554,0.127181,1353.8749,2481.7927,3639.5892,3770.3081,3370.6816
EDU-15,Y,0.019840,0.038114,0.056081,0.099693,0.168796,3075.1634,5179.7386,6101.3072,6310.4575,6343.1373
EDU-16,X,0.021016,0.048584,0.079947,0.161453,0.208998,1570.4949,2750.7003,3535.0140,3609.7106,3221.2885
EDU-16,Y,0.023213,0.050781,0.071158,0.101123,0.207400,2787.5817,5140.5229,6160.1307,5885.6209,5761.4379
OFF-01,X,0.004204,0.011347,0.020002,0.026047,0.044112,419.4211,743.6041,799.6265,733.8936,381.3259
OFF-01,Y,0.005165,0.012378,0.021033,0.026940,0.046585,513.8655,786.1345,831.5126,755.8824,355.0420
OFF-02,X,0.003479,0.007745,0.014609,0.025540,0.047867,279.7386,512.0448,732.3996,792.1569,331.2792
OFF-02,Y,0.005279,0.009011,0.017808,0.029139,0.051066,355.8824,536.5546,762.6050,813.8655,319.7479
OFF-03,X,0.004941,0.011426,0.019726,0.025757,0.045210,748.3660,1149.6732,1212.4183,1097.3856,518.3007
OFF-03,Y,0.005719,0.012074,0.021282,0.026211,0.046766,783.7535,1136.6947,1199.4398,1113.1653,502.5210
OFF-04,X,0.002524,0.007483,0.014702,0.025876,0.047722,342.2969,762.4650,1126.6106,1190.4762,458.8235
OFF-04,Y,0.003591,0.008676,0.017150,0.028764,0.050798,377.0308,765.8263,1103.0812,1168.0672,436.4146
OFF-05,X,0.004749,0.010603,0.017772,0.021981,0.046120,252.3810,410.9244,508.4034,515.1261,332.4930
OFF-05,Y,0.004091,0.009748,0.018232,0.023165,0.037438,232.2129,386.8347,506.7227,515.6863,349.8599
OFF-06,X,0.004813,0.011844,0.022053,0.048148,0.080192,236.1345,412.0448,528.0112,300.5602,263.5854
OFF-06,Y,0.005151,0.011844,0.022391,0.038954,0.070119,231.0924,388.5154,522.4090,339.2157,275.3501
OFF-07,X,0.004303,0.010152,0.017951,0.021461,0.047523,360.4108,585.9944,736.8814,743.6041,456.0224
OFF-07,Y,0.004108,0.009502,0.018471,0.022760,0.036214,279.4118,477.4510,661.7647,675.4902,480.7190
OFF-08,X,0.003972,0.011396,0.018696,0.022346,0.046597,304.3884,587.4883,727.9178,757.7965,405.2288
OFF-08,Y,0.004776,0.010220,0.018015,0.022779,0.039730,275.4902,457.8431,631.0458,678.1046,427.1242
OFF-09,X,0.003509,0.008657,0.012852,0.016666,0.045585,544.9580,803.7815,846.6387,852.5210,365.1261
OFF-09,Y,0.003572,0.008593,0.013043,0.017619,0.046094,592.8571,860.0840,894.5378,896.2185,367.6471
